Zone,Hub,Vehicle Number,Date,Risk Factors,Reasoning,Risk Value
EAST,ADRAHUB_ADR,WB556505,2025-12-02 09:46:00,Excessive travel distance,Manual distance travelled exceeds 125 KM in a day,15
EAST,ADRAHUB_ADR,WB812756,"2025-01-02 09:08:00, 2025-02-02 09:02:00, 2025-03-02 09:23:00, 2025-04-02 09:37:00, 2025-08-02 09:21:00, 2025-09-02 09:35:00, 2025-10-02 09:20:00",Excessive travel distance; Odometer inconsistency; Excessive travel distance,Manual distance travelled exceeds 125 KM in a day; Odometer reading is less than the previous day's end reading; Manual distance travelled exceeds 125 KM in a day,125
EAST,ADRASPLITHUB_ADR,WB558557,2025-11-02 11:04:00,Excessive travel distance,Manual distance travelled exceeds 125 KM in a day,15
EAST,ADRASPLITHUB_ADR,WB811865,"2025-01-02 09:05:00, 2025-02-02 08:48:00, 2025-03-02 09:04:00, 2025-04-02 09:43:00, 2025-05-02 10:46:00, 2025-09-02 10:02:00, 2025-10-02 09:16:00",GPS discrepancy; GPS discrepancy; Excessive travel distance,Manual distance travelled exceeds 125 KM in a day; GPS distance and manual distance differ significantly; GPS distance and manual distance differ significantly,115
EAST,AIZAWLSPLITHUB_AJL,MZ01J8350,"2025-06-02 11:23:00, 2025-07-02 15:29:00",Odometer inconsistency; Excessive travel distance,Odometer reading is less than the previous day's end reading; Manual distance travelled exceeds 125 KM in a day,35
EAST,ALIPURDUARHUB_ADP,WB69A0840,"2025-04-02 10:16:00, 2025-07-02 10:43:00",Excessive travel distance,Manual distance travelled exceeds 125 KM in a day,30
EAST,AMBIKAKALNAHUB_ABK,WB44J1452,"2025-01-02 08:31:00, 2025-02-02 09:34:00, 2025-03-02 09:13:00, 2025-04-02 09:10:00, 2025-05-02 09:05:00, 2025-06-02 08:51:00, 2025-07-02 08:47:00",Excessive travel distance,Manual distance travelled exceeds 125 KM in a day,105
EAST,ARAMBAGHHUB_AMB,WB05A0119,"2025-01-02 08:38:00, 2025-02-02 08:30:00, 2025-03-02 08:34:00, 2025-04-02 08:29:00, 2025-05-02 08:38:00, 2025-06-02 08:29:00, 2025-07-02 08:09:00, 2025-08-02 08:39:00, 2025-09-02 08:26:00, 2025-10-02 11:03:00, 2025-11-02 08:36:00, 2025-12-02 08:45:00",GPS discrepancy; GPS discrepancy; Excessive travel distance,Manual distance travelled exceeds 125 KM in a day; GPS distance and manual distance differ significantly; GPS distance and manual distance differ significantly,195
EAST,ARARIAHUB_ARR,BR38GA0817,"2025-01-02 08:36:00, 2025-02-02 09:56:00, 2025-03-02 09:55:00, 2025-06-02 09:55:00, 2025-07-02 09:09:00, 2025-09-02 07:35:00, 2025-11-02 08:39:00",Odometer inconsistency; Excessive travel distance; Odometer inconsistency; Excessive travel distance,Odometer reading is less than the previous day's end reading; Manual distance travelled exceeds 125 KM in a day; Odometer reading is less than the previous day's end reading; Manual distance travelled exceeds 125 KM in a day,140
EAST,ARARIAHUB_ARR,BR38GA7367,"2025-01-02 08:35:00, 2025-02-02 09:56:00, 2025-03-02 09:54:00, 2025-04-02 10:11:00, 2025-05-02 11:38:00, 2025-06-02 09:55:00, 2025-07-02 09:09:00, 2025-08-02 09:53:00, 2025-09-02 07:34:00, 2025-10-02 10:05:00, 2025-11-02 08:39:00, 2025-12-02 10:16:00",Odometer inconsistency; GPS discrepancy; Excessive travel distance; Odometer inconsistency; GPS discrepancy; Odometer inconsistency; GPS discrepancy; Excessive travel distance; GPS discrepancy,GPS distance and manual distance differ significantly; Odometer reading is less than the previous day's end reading; Odometer reading is less than the previous day's end reading; GPS distance and manual distance differ significantly; Odometer reading is less than the previous day's end reading; GPS distance and manual distance differ significantly; Manual distance travelled exceeds 125 KM in a day; Manual distance travelled exceeds 125 KM in a day; GPS distance and manual distance differ significantly,230
EAST,ARARIAHUB_ARR,BR38GA8059,2025-01-02 10:47:00,Excessive travel distance,Manual distance travelled exceeds 125 KM in a day,15
EAST,ARERAJHUB_MTI,BR11GE5939,"2025-01-02 09:09:00, 2025-02-02 10:23:00, 2025-03-02 07:58:00, 2025-04-02 08:52:00, 2025-05-02 09:27:00, 2025-06-02 10:27:00, 2025-07-02 08:19:00, 2025-08-02 10:13:00, 2025-09-02 09:18:00, 2025-10-02 09:06:00, 2025-11-02 10:32:00, 2025-12-02 08:57:00",GPS discrepancy; GPS discrepancy; Excessive travel distance,Manual distance travelled exceeds 125 KM in a day; GPS distance and manual distance differ significantly; GPS distance and manual distance differ significantly,225
EAST,ASIKAHUB_CAP,OD32H7991,"2025-02-02 17:21:00, 2025-08-02 20:00:00, 2025-12-02 17:23:00",Excessive travel distance,Manual distance travelled exceeds 125 KM in a day,45
EAST,AZARAHUB_GAU,AS01KC1283,"2025-04-02 14:34:00, 2025-05-02 14:37:00, 2025-11-02 13:36:00, 2025-12-02 12:57:00",Odometer inconsistency; Excessive travel distance,Odometer reading is less than the previous day's end reading; Manual distance travelled exceeds 125 KM in a day,70
EAST,BACCHAWARAHUB_BCA,BR50GA6126,"2025-01-02 08:44:00, 2025-02-02 08:34:00, 2025-03-02 10:10:00, 2025-04-02 08:57:00, 2025-05-02 08:43:00, 2025-06-02 09:48:00, 2025-07-02 08:32:00, 2025-08-02 09:31:00, 2025-09-02 08:34:00, 2025-10-02 09:14:00, 2025-11-02 09:13:00, 2025-12-02 09:29:00",GPS discrepancy,GPS distance and manual distance differ significantly,120
EAST,BADMALHUB_JSG,OD23D1810,"2025-07-02 09:32:00, 2025-09-02 13:35:00",Odometer inconsistency,Odometer reading is less than the previous day's end reading,40
